X;Y
627677.2925;6883629.243
633688.6061;6844792.163
665118.8485;6864935.36
604709.1543;6859267.468
685288.5897;6808644.773
666638.3732;6860106.688
629860.8697;6854750.887
645281.9797;6847485.549
665533.8321;6842341.769
678616.8438;6864704.836
683056.0196;6861543.655
638562.9002;6877181.993
673569.6131;6864035.145
663510.6689;6883390.842
637621.0892;6844192.282
690786.0454;6873098.945
632690.3449;6879932.247
666665.6471;6840866.142
632487.9536;6874754.852
701861.9505;6873268.055
660325.2877;6866380.313
632237.0522;6876960.252
636223.3088;6881866.798
634126.6925;6877962.454
680433.3105;6786796.778
627496.1958;6883797.049
629613.26;6854495.644
665763.9313;6842208.541
709039.8858;6872256.865
661660.4369;6866244.176
669077.6464;6860422.506
638356.8612;6844354.35
669312.3738;6863851.057
633703.4176;6883300.984
629754.6268;6854438.063
690705.5155;6872763.204
646446.8416;6875874.661
664352.843;6865551.344
632535.4688;6882227.226
632584.0747;6882418.738
665777.4304;6842376.732
678546.4055;6859606.921
663634.98;6850357.308
718438.6229;6823735.364
691699.1776;6834885.769
640608.5998;6851259.488
