ID;X;Y
1;627677.2925;6883629.243
2;633688.6061;6844792.163
3;665118.8485;6864935.36
4;604709.1543;6859267.468
5;685288.5897;6808644.773
6;666638.3732;6860106.688
7;629860.8697;6854750.887
8;645281.9797;6847485.549
9;665533.8321;6842341.769
10;678616.8438;6864704.836
11;683056.0196;6861543.655
12;638562.9002;6877181.993
13;673569.6131;6864035.145
14;663510.6689;6883390.842
15;637621.0892;6844192.282
16;690786.0454;6873098.945
17;632690.3449;6879932.247
18;666665.6471;6840866.142
19;632487.9536;6874754.852
20;701861.9505;6873268.055
21;660325.2877;6866380.313
22;632237.0522;6876960.252
23;636223.3088;6881866.798
24;634126.6925;6877962.454
25;680433.3105;6786796.778
26;627496.1958;6883797.049
27;629613.26;6854495.644
28;665763.9313;6842208.541
29;709039.8858;6872256.865
30;661660.4369;6866244.176
31;669077.6464;6860422.506
32;638356.8612;6844354.35
33;669312.3738;6863851.057
34;633703.4176;6883300.984
35;629754.6268;6854438.063
36;690705.5155;6872763.204
37;646446.8416;6875874.661
38;664352.843;6865551.344
39;632535.4688;6882227.226
40;632584.0747;6882418.738
41;665777.4304;6842376.732
42;678546.4055;6859606.921
43;663634.98;6850357.308
44;718438.6229;6823735.364
45;691699.1776;6834885.769
46;640608.5998;6851259.488
