ID;X;Y
1;632206.1445;6877283.404
2;663577.599;6883387.227
3;663803.5173;6852513.954
4;690362.3536;6848320.953
5;700868.4392;6829100.375
6;701912.112;6873245.75
7;609310.9515;6857412.645
8;633979.6592;6877789.113
9;637836.1692;6815513.623
10;646718.0509;6875879.97
11;695744.1222;6808804.356
12;665628.8221;6842419.414
13;627701.6572;6883563.894
14;629808.9429;6854569.377
15;669181.3674;6860397.186
16;718466.6694;6823752.474
17;629808.9429;6854569.377
18;632696.7169;6882234.202
19;632479.4116;6874918.732
20;633619.1989;6844942.894
21;638499.7812;6844337.153
22;647489.0972;6892770.805
23;647587.8337;6826086.019
24;666681.8716;6840955.207
25;669437.8834;6863871.754
26;716054.7816;6874920.533
27;683375.637;6861730.128
28;640039.5421;6855826.598
29;660490.9717;6866423.479
30;661858.1728;6866126.084
31;664257.7228;6865561.896
32;665197.678;6864962.104
33;678638.7273;6859648.704
34;690362.3536;6848320.953
35;696343.0315;6873364.738
36;609310.9515;6857412.645
37;632577.9185;6879752.013
38;690732.365;6873042.104
39;678439.8038;6864725.842
40;663577.599;6883387.227
41;666808.7205;6860183.294
42;617575.8221;6857837.065
43;633854.6907;6883353.252
44;663575.0957;6850344.753
45;690732.365;6873042.104
46;691762.5296;6834874.765
47;716054.7816;6874920.533
48;629406.8797;6883739.741
49;637561.2751;6844237.24
50;638664.8937;6877032.362
51;647308.0195;6894456.673
52;678022.2849;6881451.139
53;680396.8204;6786763.701
54;685107.9482;6808711.601
55;701912.112;6873245.75
56;678022.2849;6881451.139
57;604799.7395;6859283.828
58;636256.5278;6881918.382
59;640948.0091;6874584.825
60;645440.0739;6847429.803
61;677238.1477;6819517.767
62;677238.1477;6819517.767
63;678022.2849;6881451.139
64;617575.8221;6857837.065
65;627701.6572;6883563.894
66;629808.9429;6854569.377
67;632042.8483;6867421.516
68;632696.7169;6882234.202
69;642324.4147;6890841.008
70;665628.8221;6842419.414
71;665628.8221;6842419.414
72;673418.2649;6863970.453
73;663575.0958;6850344.753
74;637341.7528;6872098.242
75;641005.5193;6866424.833
76;661218.9659;6859489.168
77;669181.367;6860397.186
78;643047.9675;6866473.262
79;663803.5173;6852513.954
80;627701.6572;6883563.894
81;644056.2663;6866067.741
82;683375.6369;6861730.128
83;632479.4116;6874918.733
84;665207.5619;6860643.885
85;662274.7753;6856267.452
86;636544.5065;6865911.575
87;633639.0981;6866832.704
88;662444.6486;6861650.163
89;629745.1416;6870791.993
90;638249.7658;6871192.138
91;639326.258;6865602.341
92;674687.4504;6860010.326
93;678638.7274;6859648.704
94;666808.7205;6860183.294
95;633615.8946;6873208.144
96;632696.7168;6882234.202
97;629406.8795;6883739.741
98;638100.6669;6865352.605
99;660640.8274;6860541.793
100;684025.274;6863346.795
101;635638.9457;6866798.674
102;632577.9185;6879752.013
103;632215.912;6877184.771
104;664035.4268;6856434.998
105;640300.5563;6869240.401
106;660634.6208;6858019.768
107;664256.3286;6855143.672
108;673078.4315;6859970.184
109;661274.3885;6856365.487
110;664325.6353;6861603.821
111;671814.0187;6860451.258
112;642469.2827;6867124.457
113;658412.0214;6860956.345
114;636455.3481;6844575.321
115;655036.0121;6869549.121
116;653292.1068;6868869.007
117;640597.1051;6845332.816
118;645490.3537;6847386.877
119;665187.7863;6872065.064
120;660052.9226;6870441.131
121;651600.8804;6857442.227
122;648856.2341;6851512.953
123;644504.6761;6846577.528
124;649468.2085;6853577.977
125;661584.448;6870386.187
126;663037.8692;6870364.551
127;651114.3864;6856675.358
128;642034.6212;6845381.124
129;643880.336;6845604.454
130;639728.5186;6844463.587
131;648392.045;6853703.414
132;648611.4025;6850764.9
133;648262.2358;6849481.199
134;649304.4211;6852512.881
135;633619.1985;6844942.894
136;648019.5288;6854402.577
137;664446.9189;6874940.659
138;665912.7033;6870801.079
139;647199.3342;6853589.675
140;668242.3008;6871666.439
141;670934.6343;6872649.501
142;664313.9648;6873749.836
143;667900.8037;6878960.901
144;650648.8903;6855633.625
145;650207.6266;6855019.585
146;638499.7812;6844337.153
147;673822.1594;6875161.265
148;637561.275;6844237.24
149;657928.4901;6870237.488
150;631653.986;6845136.163
151;668582.2523;6878393.421
152;646568.8267;6848534
153;647616.9325;6849076.438
