ID;X;Y
1;646453.5639;6860140.614
2;661584.448;6870386.187
3;661858.1728;6866126.084
4;667900.8037;6878960.901
5;647487.4162;6867538.965
6;678015.372;6792174.901
7;662571.2288;6829664.429
8;678022.2848;6881451.139
9;625873.776;6826625.253
10;660052.9226;6870441.131
11;640402.1892;6831115.379
12;632696.7168;6882234.202
13;632696.7168;6882234.202
14;656734.7134;6851681.609
15;666681.8714;6840955.207
16;675487.8426;6876881.332
17;660663.7876;6880496.533
18;679943.5306;6849627.658
19;643964.7292;6877359.279
20;633730.7704;6863876.566
21;684025.274;6863346.795
22;637836.1692;6815513.623
23;699493.982;6856509.065
24;655329.7373;6857274.321
25;637341.7528;6872098.242
26;617276.2573;6866505.398
27;674525.4342;6825278.342
28;644249.1143;6856647.9
29;709148.4646;6872324.767
30;644270.4218;6868005.736
31;653292.1068;6868869.007
32;664257.7232;6865561.895
33;658275.0886;6854464.322
34;656614.6593;6853763.827
35;669151.4424;6858203.151
36;608349.1982;6876753.3
37;718466.6694;6823752.474
38;663577.5993;6883387.227
39;651558.5195;6860835.528
40;652977.6644;6864734.771
41;615061.5355;6871595.508
42;669181.367;6860397.186
43;637297.5355;6852597.194
44;638169.176;6880245.881
45;680584.3804;6804050.664
46;629745.1416;6870791.993
47;629808.9427;6854569.377
48;653802.4591;6877527.301
49;638249.7658;6871192.138
50;642353.1546;6858192.542
51;722351.1047;6828416.892
52;614022.2356;6838862.498
53;652321.1616;6849093.101
54;642583.305;6860957.526
55;631823.8462;6855803.801
56;652056.8409;6870696.407
57;718855.0218;6825465.018
58;643636.6227;6880483.239
59;682532.3039;6810471.992
60;682264.3099;6848845.693
61;626995.5928;6853204.424
62;626995.5928;6853204.424
63;656907.474;6845518.339
64;652572.3231;6886819.858
65;609750.2708;6816806.142
66;576261.9302;6776082.95
67;660595.0349;6898756.759
68;661337.2338;6907273.654
69;657543.7609;6901728.705
70;621325.173;6900868.183
71;688199.9209;6900140.456
72;615689.4213;6875303.462
73;645653.1721;6876374.617
74;645653.1721;6876374.617
