X;Y
651027.1568;6867583.106
651919.2259;6869083.672
651165.9943;6868164.643
653469.8057;6867594.647
650994.8406;6869324.291
651143.8944;6869583.919
652433.6706;6868812.528
650838.9;6871040.2
651033.5;6870934.6
651230.3;6870822.7
653172.6;6871088.3
652869.1;6871176.6
654944.1;6870171
654947;6869546
655513.6;6869799.3
654667.4;6868444.9
655490.1;6868899.2
650357.6633;6869071.509
651022.5619;6867550.779
653231.3887;6868926.411
652536.1867;6868824.275
653602.3495;6868903.875
653527.2679;6869294.796
650477.1541;6869296.96
653527.2679;6869294.796
652536.1867;6868824.275
652536.1867;6868824.275
653231.3887;6868926.411
653527.2679;6869294.796
653231.3887;6868926.411
653231.3887;6868926.411
653527.2679;6869294.796
651032.1148;6867593.361
653231.3887;6868926.411
653231.3887;6868926.411
651032.1148;6867593.361
653231.3887;6868926.411
653527.2679;6869294.796
653231.3887;6868926.411
650357.6633;6869071.509
653231.3887;6868926.411
650248.6976;6867711.972
653231.3887;6868926.411
653436.7209;6869884.751
653231.3887;6868926.411
650357.6633;6869071.509
651032.1148;6867593.361
652423.0581;6870209.013
650357.6633;6869071.509
653527.2679;6869294.796
653231.3887;6868926.411
652536.1867;6868824.275
652536.1867;6868824.275
653231.3887;6868926.411
653231.3887;6868926.411
653231.3887;6868926.411
650889.654;6870084.114
653231.3887;6868926.411
652536.1867;6868824.275
653231.3887;6868926.411
650477.1541;6869296.96
652536.1867;6868824.275
653527.2679;6869294.796
652970.0857;6867807.149
653231.3887;6868926.411
652536.1867;6868824.275
652536.1867;6868824.275
652850.6161;6870073.861
652946.1693;6867914.199
651924.5559;6867584.823
652863.7682;6870070.184
652850.6161;6870073.861
651924.5559;6867584.823
652863.7682;6870070.184
652850.6161;6870073.861
650357.6633;6869071.509
651022.5619;6867550.779
651722.408;6870072.834
651720.6538;6870072.471
653231.3887;6868926.411
652536.1867;6868824.275
653602.3495;6868903.875
653527.2679;6869294.796
650908.9066;6870099.653
650889.654;6870084.114
650477.1541;6869296.96
653438.5874;6869590.386
653527.2679;6869294.796
650908.9066;6870099.653
650889.654;6870084.114
652536.1867;6868824.275
653270.6105;6870080.768
652850.6161;6870073.861
652536.1867;6868824.275
653143.0029;6870086.627
653105.2759;6870089.084
651022.5619;6867550.779
651311.4106;6867570.627
651442.5051;6867564.155
650908.9066;6870099.653
652983.0086;6867851.836
653231.3887;6868926.411
653231.3887;6868926.411
653517.951;6868689.126
653231.3887;6868926.411
652970.0857;6867807.149
653143.0029;6870086.627
653105.2759;6870089.084
653231.3887;6868926.411
651032.1148;6867593.361
651835.1676;6869003.525
652536.1867;6868824.275
653231.3887;6868926.411
652863.7682;6870070.184
653231.3887;6868926.411
652536.1867;6868824.275
653231.3887;6868926.411
651032.1148;6867593.361
651835.1676;6869003.525
651032.1148;6867593.361
650357.6633;6869071.509
653231.3887;6868926.411
653105.2759;6870089.084
653231.3887;6868926.411
653231.3887;6868926.411
653231.3887;6868926.411
653231.3887;6868926.411
652970.0857;6867807.149
653143.0029;6870086.627
653527.2679;6869294.796
650908.9066;6870099.653
650357.6633;6869071.509
653231.3887;6868926.411
652970.0857;6867807.149
653105.2759;6870089.084
652946.1693;6867914.199
550043;653110.9641
297049;653066.8
461656;653466.5029
497418;653231.3887
538684;653377.8
550037;652948.2025
209160;653002.512
538684;653377.8
550047;653294.0718
550049;653364.5246
439747;653105.2759
553449;653439.8695
75288;652850.6161
685659;651722.408
685639;651720.6538
75288;652850.6161
685659;651722.408
336934;652932.44
550037;652948.2025
307304;651924.5559
110314;650357.6633
44567;653516.0539
336934;652932.44
461656;653466.5029
482352;652536.1867
497418;653231.3887
